,key_and_mode,track_id,spotify_uri
0,F# Major,10,spotify:track:66381EvBZ6e3RXzYATpGmN
1,F Major,141,spotify:track:7f0KQDOB9khm9ZtuWjjtre
2,C# Major,153,spotify:track:348mNhOGbcRxj7e35jASFm
3,A Major,173,spotify:track:1B6BPYXUp1FrxUfpRI38MM
4,G Major,181,spotify:track:3Ddc7Lne6RjhTlRPGWpRdi
5,Bb Major,184,spotify:track:6RlOAAOmWy5GHUQvd2XK2T
6,D Major,213,spotify:track:1OrbImTwzIVWtW1msIfa2r
7,A Major,251,spotify:track:03tLL3IVOlZjuQ09ruzKyW
8,A minor,331,spotify:track:5gTRpAuvGv3WMYENEFb2iL
9,A minor,347,spotify:track:0t776Qp9dV8F1zdcdys89m
10,G# Major,384,spotify:track:6HZHgxY2nzLUolQkEQuNgW
11,G minor,411,spotify:track:0R4EPHyAmRlxhtbGoWa9jq
12,D# Major,532,spotify:track:4FcmMMMgt8KW7imlVemTFS
13,G minor,533,spotify:track:6tY89kS6nteROgiVOBIPj6
14,G# minor,534,spotify:track:4ypiBQX6nsXTwLkaHwnaRI
15,F# Major,535,spotify:track:15inctkFraY0h9lO7gI6pS
16,E Major,536,spotify:track:2lUewhhSONUcDhdITuO8e4
17,G# Major,538,spotify:track:13LaCOYGsfFlFap8qxnh1D
18,C# Major,540,spotify:track:4m8jcQJ7wg4RyFNnIvZZgn
19,G# minor,542,spotify:track:4T15IGvQISy0Pjfnbbm4Vj
20,G# Major,546,spotify:track:2zPVxyeQrT9MwfS8ctQa0T
21,C# Major,547,spotify:track:38iGasRZ6PAQEtFUHdsnak
22,D# Major,549,spotify:track:2k5F3cLqqymKMyKaXwc0cP
23,C minor,564,spotify:track:2jZDMOhEZuX5EzcLELtFXN
24,E Major,565,spotify:track:70T6UJeRboItzWupOXwKdp
25,C Major,566,spotify:track:0YycHIFl5MoV1s35XbfYPe
26,B Major,567,spotify:track:3nNoMe1pqsL3H91ccNbvj0
27,F# minor,569,spotify:track:2AWqB2eE4CbN77nc47UvRm
28,A minor,570,spotify:track:2RCksBCj0CACU1hiMbtS4j
29,F# Major,571,spotify:track:71PHe23ZPZ6GUCTSlLnMrf
30,E Major,572,spotify:track:0w4609RZCtJkeHjnw8ELqi
31,G minor,573,spotify:track:5vijVPpSVbE31fL7pKQOQi
32,G# minor,574,spotify:track:6Eu8bEwssf8s96WqcfaKAf
33,E minor,579,spotify:track:0iUw7FBJ5QE2YkPXQT0GOe
34,A minor,580,spotify:track:5oWdvjfxN1MmDcGut7Iw8s
35,D minor,608,spotify:track:26MitEQGDOQCIYUe4vaYXe
36,Bb Major,610,spotify:track:5wQqEc8yn5Y1eHF30LPmMv
37,C Major,611,spotify:track:0WiHIosc87sjHnnYyxfazM
38,E minor,612,spotify:track:1MWkPyPDaUIE3CVvsiGrdK
39,C Major,625,spotify:track:0NuZEpQTEN6Ooggg0TIAMM
40,A minor,634,spotify:track:2O5MOMud1Hnpt1Z06fhdwo
41,C# minor,670,spotify:track:6lmOuc8hGYA7EoPWi9pQNI
42,C# minor,671,spotify:track:6lmOuc8hGYA7EoPWi9pQNI
43,Bb Major,678,spotify:track:77TKSMTiIhPzh6Pzo9F23b
44,Bb Major,679,spotify:track:77TKSMTiIhPzh6Pzo9F23b
45,A minor,692,spotify:track:2yAklTm0vn9ptOwgzHkZA4
46,D Major,705,spotify:track:0wsm7gDIDSUokc7m1p4arf
47,F minor,706,spotify:track:2G8kpbwlQTQX998tcEBuYm
48,G Major,708,spotify:track:2f72dgz2E6RMQaEITydBkC
49,B minor,805,spotify:track:2M9KA5vRczD576GGJm0DVL
50,D minor,814,spotify:track:2fNiMFR67O7CUICrtTelbZ
51,D# Major,1007,spotify:track:30waoYt4GNb459FE7gajw1
52,C minor,1014,spotify:track:4pdRXfviZ3Sjw6Yz3fKk5E
53,F minor,1015,spotify:track:5IYCJExr9L1eJrzhAouLtz
54,D minor,1016,spotify:track:5Z4scNFddcRST6Hu6aQ8Oi
55,F minor,1017,spotify:track:5HG10lskxtCC7iQ0KHZp3W
56,A minor,1042,spotify:track:5cTU9blAalmBDKYW02Ymdn
57,D Major,1044,spotify:track:2SPXTw2JELzhEutM53K90X
